"collection","colid","area","lat","lon","elev","MAXCAP"
"usgs","06225000",NA,43.242457,-109.022905,1729,188105700
"usgs","06225000",NA,43.242457,-109.022905,1729,0
"usgs","06225000",NA,43.242457,-109.022905,1729,0
"usgs","06225000",NA,43.242457,-109.022905,1729,0
"usgs","06225500",NA,43.242457,-109.010405,1748,188105700
"usgs","06225500",NA,43.242457,-109.010405,1748,0
"usgs","06225500",NA,43.242457,-109.010405,1748,0
"usgs","06225500",NA,43.242457,-109.010405,1748,0
"usgs","06259000",19968.8229,43.424958,-108.178986,1431,1816916040
"usgs","06282000",3936.7848,44.51662,-109.097922,1504,706784040
"usgs","06342260",378.13854,47.056939,-101.193478,573,12334800
"usgs","06459500",1605.7938,42.653867,-100.858333,857,106202628
"usgs","06652800",37114.5567,42.456913,-104.947748,1368,1386431520
"usgs","06656000",38870.56992,42.280524,-104.754687,1321,55753296
"usgs","06657000",38870.56992,42.241023,-104.62796,1300,55753296
"usgs","06681000",NA,41.852222,-103.626389,1180,16528632
"usgs","06695000",1999.47228,38.967492,-105.58139,2616,67224660
"usgs","06696000",2494.16037,38.90527,-105.47333,2583,157885440
"usgs","06701500",4537.66248,39.209157,-105.267773,2081,107592760
"usgs","06708000",NA,39.488322,-105.092764,1682,9497796
"usgs","06710000",NA,39.618877,-105.01915,1619,437885400
"usgs","06710000",NA,39.618877,-105.01915,1619,0
"usgs","06710000",NA,39.618877,-105.01915,1619,0
"usgs","06729500",240.86907,39.931097,-105.295824,1856,55650917.16
"usgs","06758500",NA,40.321927,-103.921895,1320,12085637.04
"usgs","06758500",NA,40.321927,-103.921895,1320,0
"usgs","06821150",551.66787,39.388055,-94.579121,244,304052820
"usgs","06829500",20978.919,40.166553,-101.047828,817,4465197600
"usgs","06832500",3366.987,40.420678,-101.512131,926,99541836
"usgs","06834000",3366.987,40.351781,-101.123728,839,99541836
"usgs","06842500",2201.4915,40.37165,-100.222194,705,241762080
"usgs","06843500",NA,40.284419,-100.143719,684,241762080
"usgs","06843500",NA,40.284419,-100.143719,684,0
"usgs","06848000",1768.96317,39.810005,-99.922068,686,238061640
"usgs","06854000",885.77658,39.884229,-98.022275,467,229797324
"usgs","06868200",4965.01083,38.9764,-98.489232,444,960319686.6
"usgs","06873200",3107.988,39.40967,-99.416033,561,495858960
"usgs","06887000",24760.3044,39.237135,-96.571431,305,2919647160
"usgs","06891500",950.52633,38.911295,-95.261101,249,490431648
"usgs","06919000",3004.3884,37.697861,-93.761694,236,2055841116
"usgs","06919020",3004.3884,37.735875,-93.779683,235,2055841116
"usgs","06921350",1582.48389,37.906061,-93.328917,246,800210282.2
"usgs","06926000",36259.86,38.191422,-92.607407,171,3302025960
"usgs","07039500",3392.8869,36.928108,-90.265283,106,1399506408
"usgs","07055000",15633.17964,36.30979,-92.557941,139,6670659840
"usgs","07073000",NA,36.098959,-91.608474,133,11977090.8
"usgs","07099400",12092.66331,38.271669,-104.718033,1445,603314803.7
"usgs","07099500",12092.66331,38.267225,-104.657753,1433,603314803.7
"usgs","07103700",NA,38.854714,-104.878031,1873,18563874
"usgs","07103700",NA,38.854714,-104.878031,1873,7647576
"usgs","07130500",48989.66085,38.066396,-102.932423,1144,766361124
"usgs","07144795",2333.58099,37.721401,-97.794496,416,698488887
"usgs","07150500",8272.42806,36.752529,-98.128955,335,334766472
"usgs","07170700",95.570631,37.266588,-95.469183,247,50066953.2
"usgs","07179500",637.13754,38.66578,-96.49362,374,282614937.6
"usgs","07179795",517.998,38.366681,-97.083635,400,177436098
"usgs","07188000",5723.8779,36.934511,-94.747171,240,9374448
"usgs","07190500",26671.71702,36.438974,-95.048573,190,2709955560
"usgs","07218000",NA,35.916706,-105.164175,2073,8029954.8
"usgs","07230000",NA,35.221736,-97.213916,302,453263195.2
"usgs","07231000",NA,34.965361,-96.512511,231,453263195.2
"usgs","07231000",NA,34.965361,-96.512511,231,0
"usgs","07247000",NA,34.918989,-94.298825,177,30837000
"usgs","07300000",NA,34.957553,-100.220949,594,123964740
"usgs","07300000",NA,34.957553,-100.220949,594,0
"usgs","07300500",NA,34.858394,-99.508701,457,123964740
"usgs","07300500",NA,34.858394,-99.508701,457,0
"usgs","07312100",5402.71914,33.760093,-99.142849,326,1282819200
"usgs","07343200",NA,33.390668,-95.062441,87,11964756
"usgs","07349500",NA,32.905139,-93.482951,58,172687200
"usgs","07359001",3926.42484,34.430647,-92.881005,86,43171800
"usgs","07359002",3926.42484,34.426389,-92.890833,84,43171800
"usgs","08019500",80.28969,32.604029,-95.09161,90,29973564
"usgs","08025500",NA,31.307127,-93.515729,46,8412333.6
"usgs","08026000",NA,31.06408,-93.519616,24,6514686294
"usgs","08040600",19613.99427,30.791036,-94.151024,22,377938272
"usgs","08047000",1111.10571,32.665133,-97.441964,187,505726800
"usgs","08047500",NA,32.732353,-97.358906,172,505726800
"usgs","08047500",NA,32.732353,-97.358906,172,0
"usgs","08050100",764.04705,32.747631,-96.925838,131,87429062.4
"usgs","08053000",4299.3834,33.045677,-96.961117,142,2569092144
"usgs","08061750",2773.87929,32.774295,-96.503599,118,719858928
"usgs","08062000",2773.87929,32.638744,-96.485265,107,719858928
"usgs","08063100",828.7968,31.938491,-96.681379,118,414202584
"usgs","08063500",828.7968,31.950714,-96.42137,98,414202584
"usgs","08063800",538.71792,32.243481,-96.640268,115,29187837.24
"usgs","08063800",538.71792,32.243481,-96.640268,115,331066032
"usgs","08066250",NA,30.572145,-94.948822,28,2522466600
"usgs","08066250",NA,30.572145,-94.948822,28,0
"usgs","08066500",NA,30.425207,-94.850762,19,2522466600
"usgs","08066500",NA,30.425207,-94.850762,19,0
"usgs","08066500",NA,30.425207,-94.850762,19,0
"usgs","08104700",639.72753,30.661859,-97.711399,219,271488948
"usgs","08109800",NA,30.407431,-96.817479,90,24669600
"usgs","08141500",124.31952,31.834312,-99.534791,565,60798229.2
"usgs","08143500",3975.63465,31.731819,-98.973939,406,552845736
"usgs","08143600",3975.63465,31.517386,-98.740603,377,552845736
"usgs","08167800",3708.86568,29.859108,-98.180011,235,1392968964
"usgs","08168500",3708.86568,29.714947,-98.110008,182,1392968964
"usgs","08213500",414.3984,37.724722,-107.255609,2843,82458138
"usgs","08214500",129.4995,37.888332,-107.203386,3138,39162990
"usgs","08285500",2261.06127,36.580015,-106.723926,2071,270847538.4
"usgs","08287000",5558.11854,36.236685,-106.416976,1839,1682960112
"usgs","08384500",11370.0561,34.604231,-104.387758,1267,293346213.6
"usgs","09050700",867.64665,39.625542,-106.066408,2677,376211400
"usgs","09080400",577.56777,39.365541,-106.825595,2317,146784120
"usgs","09096500",62.15976,39.250535,-107.84062,2182,49709244
"usgs","09109000",634.54755,38.818327,-106.609198,2801,147980595.6
"usgs","09110000",NA,38.664437,-106.845317,2448,147980595.6
"usgs","09110000",NA,38.664437,-106.845317,2448,0
"usgs","09126000",NA,38.257213,-107.546726,2660,18995592
"usgs","09128000",NA,38.529153,-107.648947,2078,37899906.48
"usgs","09132500",637.13754,38.925823,-107.434221,1854,28653740.4
"usgs","09211200",11085.1572,42.02106,-110.049876,1949,499756756.8
"usgs","09234500",39108.849,40.908293,-109.422914,1727,4937250396
"usgs","09291000",279.71892,40.556336,-110.484606,2444,62537436
"usgs","09355500",8365.6677,36.801394,-107.698114,1728,2449937976
"usgs","09392000",174.047328,34.196432,-110.004275,2002,9251100
"usgs","09426000",12250.6527,34.230854,-113.60882,293,1742258430
"usgs","09502000",16086.42789,33.552823,-111.576524,433,95683510.56
"usgs","09510000",16019.08815,33.808375,-111.663473,488,237653358.1
"usgs","09511300",NA,33.558656,-111.669304,408,237653358.1
"usgs","09511300",NA,33.558656,-111.669304,408,0
"usgs","10118000",15539.94,41.834093,-112.05523,1334,81409680
"usgs","10131000",NA,40.920503,-111.401586,1702,93411440.4
"usgs","10131000",NA,40.920503,-111.401586,1702,0
"usgs","10131000",NA,40.920503,-111.401586,1702,0
"usgs","10131000",NA,40.920503,-111.401586,1702,0
"usgs","10134500",401.44845,40.922446,-111.60715,1677,71973558
"usgs","10137500",354.82863,41.268552,-111.6741,1595,10768280.4
"usgs","10191500",6215.976,38.328034,-112.187702,1802,168807905.4
"usgs","10219000",271.94895,39.37468,-112.039656,1504,14431716
"usgs","10239000",1320.8949,38.21747,-112.840226,1653,40704840
"usgs","10277500",4959.83085,37.015211,-118.224543,1170,44904839.4
"usgs","10293000",937.57638,38.327696,-119.214876,1959,96155933.4
"usgs","10312150",5050.4805,39.463936,-119.046258,1238,526079220
"usgs","10338500",33.66987,39.323517,-120.234365,1812,15467839.2
"usgs","10340500",124.31952,39.37324,-120.131587,1716,50819376
"usgs","10344400",NA,39.435741,-120.084366,1712,345374400
"usgs","10358500",25.8999,40.489064,-120.537171,1502,9573038.28
"usgs","11044000",NA,33.473918,-117.142254,327,76475760
"usgs","11044000",NA,33.473918,-117.142254,327,0
"usgs","11044000",NA,33.473918,-117.142254,327,0
"usgs","11046500",NA,33.518915,-117.625049,51,7487223.6
"usgs","11070500",1859.61282,33.664189,-117.293927,389,23888807.16
"usgs","11074000",5863.73736,33.883349,-117.64533,137,387775275
"usgs","11077500",NA,33.770295,-117.884501,35,387775275
"usgs","11077500",NA,33.770295,-117.884501,35,0
"usgs","11078000",NA,33.751128,-117.908391,25,387775275
"usgs","11078000",NA,33.751128,-117.908391,25,0
"usgs","11082000",103.5996,34.241115,-117.863395,488,14981848.08
"usgs","11087500",914.26647,34.013068,-118.064234,57,82275582.96
"usgs","11088000",914.26647,33.811961,-118.090898,6,82275582.96
"usgs","11095500",212.37918,34.300556,-118.268688,496,9004404
"usgs","11096500",212.37918,34.274446,-118.37258,329,9004404
"usgs","11097000",380.72853,34.253614,-118.38897,291,565649258.4
"usgs","11103500",2.58999,33.998345,-118.4023,8,14545196.16
"usgs","11105500",NA,34.077785,-118.701753,134,12797355
"usgs","11123000",559.43784,34.524439,-119.687358,400,15694799.52
"usgs","11123500",559.43784,34.543604,-119.864863,242,15694799.52
"usgs","11141500",55.943784,35.12442,-120.569058,39,94977960
"usgs","11149400",839.15676,35.761357,-120.855458,181,616740000
"usgs","11156500",227.91912,36.609406,-121.20298,298,39224664
"usgs","11170000",505.04805,37.168278,-121.649668,114,137261654.4
"usgs","11231500",233.0991,37.361331,-118.992063,2253,172687200
