"fips","spring","winter"
16031,0.277110624168716,0.722889375831284
16033,1,0
16035,0.277117973079968,0.722882026920032
16037,1,0
16039,0.589171974522293,0.410828025477707
16041,0.0408884401817264,0.959111559818274
16043,0.5,0.5
16045,0.5,0.5
16047,0.304500478774338,0.695499521225662
16049,0.22414570880794,0.77585429119206
16051,0.99995398490705,4.60150929504878e-05
16053,0.000322788896061975,0.999677211103938
16055,0.354675439706441,0.645324560293559
16057,0.242026870628491,0.757973129371509
16059,0,1
16061,0.275680697296337,0.724319302703663
16063,0.999764705882353,0.000235294117647059
16065,0.999967910663287,3.20893367134101e-05
16067,0.665649421025612,0.334350578974388
16069,0.203939463955638,0.796060536044362
16071,0.999968543567159,3.14564328405159e-05
16073,0.236560829927696,0.763439170072304
16075,0.109882964889467,0.890117035110533
16077,0.505006612507085,0.494993387492915
16079,0,1
16081,0.856946354883081,0.143053645116919
16083,0.121559722820342,0.878440277179658
16085,0,1
16087,0.0883702635374328,0.911629736462567
17001,0,1
17003,0,1
17005,0,1
17007,0,1
17009,0,1
17011,0,1
17013,0,1
17015,0,1
17017,0,1
17019,0,1
17021,0,1
17023,0,1
17025,0,1
17027,0,1
17029,0,1
17031,0,1
17033,0,1
17035,0,1
17037,0,1
17039,0,1
17041,0,1
17043,0,1
17045,0,1
17047,0,1
17049,0,1
17051,0,1
17053,0,1
17055,0,1
17057,0,1
17059,0,1
17061,0,1
17063,0,1
17065,0,1
17067,0,1
17069,0,1
17071,0,1
17073,0,1
17075,0,1
17077,0,1
17079,0,1
17081,0,1
17083,0,1
17085,0,1
17087,0,1
17089,0,1
17091,0,1
17093,0,1
17095,0,1
17099,0,1
17097,0,1
17101,0,1
17103,0,1
17105,0,1
17107,0,1
17115,0,1
17117,0,1
17119,0,1
17121,0,1
17123,0,1
17125,0,1
17127,0,1
17109,0,1
17111,0,1
17113,0,1
17129,0,1
17131,0,1
17133,0,1
17135,0,1
17137,0,1
17139,0,1
17141,0,1
17143,0,1
17145,0,1
17147,0,1
17149,0,1
17151,0,1
17153,0,1
17155,0,1
17157,0,1
17159,0,1
17161,0,1
17163,0,1
17165,0,1
17167,0,1
17169,0,1
17171,0,1
17173,0,1
17175,0,1
17177,0,1
17179,0,1
17181,0,1
17183,0,1
17185,0,1
17187,0,1
17189,0,1
17191,0,1
17193,0,1
17195,0,1
17197,0,1
17199,0,1
17201,0,1
17203,0,1
18001,0,1
18003,0,1
18005,0,1
18007,0,1
18009,0,1
18011,0,1
18013,0,1
18015,0,1
18017,0,1
18019,0,1
18021,0,1
18023,0,1
18025,0,1
18027,0,1
18033,0,1
18029,0,1
18031,0,1
18035,0,1
18037,0,1
18039,0,1
18041,0,1
18043,0,1
18045,0,1
18047,0,1
18049,0,1
18051,0,1
18053,0,1
18055,0,1
18057,0,1
18059,0,1
18061,0,1
18063,0,1
18065,0,1
18067,0,1
18069,0,1
18071,0,1
18073,0,1
18075,0,1
18077,0,1
18079,0,1
18081,0,1
18083,0,1
18085,0,1
18087,0,1
18089,0,1
18091,0,1
18093,0,1
18095,0,1
18097,0,1
18099,0,1
18101,0,1
18103,0,1
18105,0,1
18107,0,1
18109,0,1
18111,0,1
18113,0,1
18115,0,1
18117,0,1
18119,0,1
18121,0,1
18123,0,1
18125,0,1
18127,0,1
18129,0,1
18131,0,1
18133,0,1
18135,0,1
18137,0,1
18139,0,1
18141,0,1
18143,0,1
18145,0,1
18147,0,1
18149,0,1
18151,0,1
18153,0,1
18155,0,1
18157,0,1
18159,0,1
18161,0,1
18163,0,1
18165,0,1
18167,0,1
18169,0,1
18171,0,1
18173,0,1
18175,0,1
18177,0,1
18179,0,1
18181,0,1
18183,0,1
19001,0,1
19003,0,1
19005,0,1
19007,0,1
19009,0,1
19011,0.5,0.5
19013,0,1
19015,0,1
19017,0,1
19019,0,1
19021,0,1
19023,0,1
19025,0,1
19027,0,1
19029,0,1
19031,0,1
19033,0,1
19035,0,1
19037,0,1
19039,0,1
19041,0,1
19043,0,1
19045,0,1
19047,0,1
19049,0,1
19051,0,1
19053,0,1
19055,0,1
19057,0,1
19059,0,1
19061,0,1
19063,0,1
19065,0,1
19067,0,1
19069,1,0
19071,0,1
19073,0.5,0.5
19075,0,1
19077,0,1
19079,0,1
19081,0,1
19083,0,1
19085,0,1
19087,0,1
19089,0,1
19091,0,1
19093,0,1
19095,0,1
19097,0,1
