fips,name,state,farmvalue,valuesource,profit,profitsource,estprofit,estprofitsource,estprofit_changeirr,estprofitsource_changeirr,obscrop,toadd,esttoadd,esttoadd_changeirr
05063,Independence,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05065,Izard,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05067,Jackson,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05069,Jefferson,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05071,Johnson,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
05073,Lafayette,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
05075,Lawrence,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,rice,0.0,Inf,Inf
05077,Lee,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05079,Lincoln,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05081,Little River,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
05083,Logan,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
05085,Lonoke,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05087,Madison,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05089,Marion,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05091,Miller,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
05093,Mississippi,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05095,Monroe,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05097,Montgomery,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05099,Nevada,AR,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
05101,Newton,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
