node,outnode
junction.21872-dn,junction.22058-dn
junction.21872-dn,junction.21775-dn
junction.515-dn,reservoir.2683
junction.9447-dn,junction.10538-up
junction.13843-dn,usgs.05422470
junction.16004-dn,junction.16212-up
junction.1550-dn,junction.1749-up
junction.1550-dn,junction.3171-up
junction.1550-dn,usgs.07346080
junction.4013-dn,usgs.11103500
usgs.11105510,usgs.11105500
junction.10634-dn,usgs.01580700
usgs.09396100,junction.5672-up
junction.13201-up,usgs.01439800
junction.8198-dn,usgs.03312259
junction.8198-dn,reservoir.1847
junction.12432-dn,usgs.01395000
junction.15651-dn,junction.19493-up
junction.15651-dn,usgs.06453600
junction.15651-dn,usgs.06386000
junction.21212-dn,junction.21212-up
junction.21977-dn,junction.21977-up
junction.1771-dn,junction.2386-up
junction.18945-dn,usgs.14048000
junction.5209-dn,usgs.11141500
usgs.06466500,junction.15651-dn
usgs.06466500,usgs.06454000
junction.10069-dn,usgs.01589500
junction.19173-up,usgs.05338500
usgs.01100561,usgs.01096500
junction.21622-dn,junction.21734-up
junction.14234-up,usgs.10011500
junction.3801-dn,usgs.11088000
junction.7146-up,canal.08258000
junction.3603-dn,junction.4152-up
junction.4736-dn,usgs.03588500
junction.4736-dn,junction.4563-dn
junction.15742-up,usgs.01154500
junction.3011-dn,usgs.11023340
junction.17593-dn,usgs.04282795
junction.236-dn,canal.02279000
junction.6163-up,usgs.07040100
junction.10454-dn,usgs.11468500
junction.7081-dn,junction.7305-up
usgs.10346000,usgs.10336700
junction.3845-dn,junction.4021-up
junction.21062-dn,usgs.12150800
junction.1116-dn,junction.1116-up
junction.15303-dn,junction.16017-up
junction.20772-dn,usgs.05050000
junction.20772-dn,usgs.05069000
junction.1344-dn,usgs.07375280
junction.4090-dn,usgs.11104000
junction.9087-dn,junction.9130-up
junction.16585-dn,junction.16549-dn
junction.1514-dn,junction.1797-up
junction.2625-dn,usgs.11012000
junction.22652-dn,usgs.02304510
junction.1928-dn,junction.2173-up
junction.850-dn,junction.701-dn
junction.175-dn,junction.161-dn
junction.12638-dn,usgs.01308500
junction.3314-up,usgs.02444000
junction.6641-up,junction.6218-up
junction.5136-dn,junction.5336-up
usgs.02307697,usgs.02307671
junction.498-dn,usgs.09537500
junction.746-dn,reservoir.2669
junction.7192-up,junction.7121-up
junction.3354-dn,usgs.11046000
junction.1112-dn,reservoir.2634
junction.10542-dn,usgs.01412800
junction.1749-up,junction.2165-up
junction.13422-dn,usgs.01198125
junction.19271-dn,junction.19113-dn
junction.19271-dn,usgs.13342500
junction.10231-dn,junction.10437-up
junction.10231-dn,junction.9596-dn
junction.915-dn,usgs.02247510
junction.6045-up,reservoir.1881
canal.06852500,usgs.06826500
junction.6510-up,junction.7003-up
junction.22058-dn,usgsres.05113750
junction.10054-dn,usgs.11468000
junction.1844-up,usgs.09480000
junction.866-dn,reservoir.2652
junction.1528-dn,usgs.02479310
junction.16068-dn,junction.14332-up
junction.16068-dn,usgs.13079000
junction.16068-dn,junction.16147-dn
junction.16068-dn,junction.17293-dn
junction.20908-dn,usgs.12069550
usgs.07344210,usgs.07336500
junction.3813-dn,usgs.11103000
junction.14162-dn,usgs.04099750
reservoir.786,usgs.13161500
usgs.02231000,junction.1392-up
junction.277-up,junction.268-dn
junction.21734-up,reservoir.138
junction.667-dn,junction.667-up
junction.667-dn,reservoir.2411
junction.7054-dn,usgs.11159000
junction.20868-dn,junction.20772-dn
usgs.03588500,usgs.03531500
usgs.03588500,usgs.03479000
usgs.03588500,usgs.03560000
