"FIPS","year_cal","month_num","calculated"
36099,2014,5,5.539412182770367e7
36099,2014,6,5.970020677322816e7
36099,2014,7,6.718321798204435e7
36099,2014,8,6.489485105258246e7
36099,2014,9,5.699552659302893e7
36099,2014,10,5.145650480509191e7
36099,2014,11,4.562372124170098e7
36099,2014,12,4.738333970647804e7
36101,2009,1,1.1878620701190214e8
36101,2009,2,1.0863545174953724e8
36101,2009,3,1.190951909859947e8
36101,2009,4,1.1841907283318213e8
36101,2009,5,1.3800938603555426e8
36101,2009,6,1.4873760267552933e8
36101,2009,7,1.6738084041541183e8
36101,2009,8,1.6167958359358856e8
36101,2009,9,1.4199913948167568e8
36101,2009,10,1.2819917351112685e8
36101,2009,11,1.1366732695589775e8
36101,2009,12,1.1805125535783257e8
36101,2010,1,1.0865863595146333e8
36101,2010,2,9.937332203807947e7
36101,2010,3,1.089412763185591e8
36101,2010,4,1.0832280319718668e8
36101,2010,5,1.2624286954140803e8
36101,2010,6,1.3605641116055143e8
36101,2010,7,1.5311014857243377e8
36101,2010,8,1.4789497414223903e8
36101,2010,9,1.2989246134287678e8
36101,2010,10,1.1726906409620652e8
36101,2010,11,1.0397618553507064e8
36101,2010,12,1.0798634540334041e8
36101,2011,1,8.37837948773968e7
36101,2011,2,7.662413536686608e7
36101,2011,3,8.400173137488239e7
36101,2011,4,8.352484313968132e7
36101,2011,5,9.734253144053805e7
36101,2011,6,1.049094933376705e8
36101,2011,7,1.1805917835532872e8
36101,2011,8,1.140378955471729e8
36101,2011,9,1.0015663496947499e8
36101,2011,10,9.042306785527568e7
36101,2011,11,8.017328143982826e7
36101,2011,12,8.32654094505164e7
36101,2012,1,1.0636153332098159e8
36101,2012,2,9.727251599119198e7
36101,2012,3,1.0663819851707457e8
36101,2012,4,1.0603280025368793e8
36101,2012,5,1.2357402665410483e8
36101,2012,6,1.3318010466881146e8
36101,2012,7,1.498733168014525e8
36101,2012,8,1.4476839399366325e8
36101,2012,9,1.2714646410098475e8
36101,2012,10,1.1478993233414522e8
36101,2012,11,1.0177807245175569e8
36101,2012,12,1.0570345536050086e8
36101,2013,1,1.1064960856159438e8
36101,2013,2,1.0119415809609817e8
36101,2013,3,1.1093742780126183e8
36101,2013,4,1.103076222806377e8
36101,2013,5,1.285560413687589e8
36101,2013,6,1.3854939835555354e8
36101,2013,7,1.5591561460347238e8
36101,2013,8,1.5060488155194348e8
36101,2013,9,1.322725053267871e8
36101,2013,10,1.1941780719965895e8
36101,2013,11,1.0588136072610386e8
36101,2013,12,1.0996499950739379e8
36101,2014,1,1.0612028550176853e8
36101,2014,2,9.705188376053935e7
36101,2014,3,1.0639632316953313e8
36101,2014,4,1.0579229806245816e8
36101,2014,5,1.2329373768580173e8
36101,2014,6,1.3287802732176009e8
36101,2014,7,1.495333761320428e8
36101,2014,8,1.4444003224245992e8
36101,2014,9,1.2685807217744558e8
36101,2014,10,1.1452956733207579e8
36101,2014,11,1.0154722077769609e8
36101,2014,12,1.0546370018498972e8
36105,2009,1,2.349836445609435e7
36105,2009,2,2.149033547141798e7
36105,2009,3,2.3559487866100963e7
36105,2009,4,2.3425737734921347e7
36105,2009,5,2.7301106189040374e7
36105,2009,6,2.942336895768666e7
36105,2009,7,3.311138633001909e7
36105,2009,8,3.1983560010557834e7
36105,2009,9,2.8090361801499873e7
36105,2009,10,2.5360443589487553e7
36105,2009,11,2.248574428588409e7
36105,2009,12,2.335297584356625e7
36105,2010,1,2.482034423705378e7
36105,2010,2,2.2699346806327365e7
36105,2010,3,2.488490635073372e7
36105,2010,4,2.4743631654623188e7
36105,2010,5,2.8837022037446477e7
36105,2010,6,3.1078679859109133e7
36105,2010,7,3.49741790928775e7
36105,2010,8,3.378290309828895e7
36105,2010,9,2.9670679887501262e7
36105,2010,10,2.678718091514725e7
36105,2010,11,2.3750755702372428e7
36105,2010,12,2.466677629755581e7
36105,2011,1,1.2799627470130755e7
