"fips","naics","year","MGwithdrawal","MG_min_of_min_withdrawal","MG_max_of_maxwithdrawl","fix_revenue2015dollar","hours","materials_2015dollar","labor_2015dollar","ln_fix_revenue","ln_MGwithdrawal","ln_hours","ln_materials","coef","y1","y2","m","b","y_hat","fix_revenue","diff"
36015,327,2012,"7.3","7.3","25.55","90656.42","753","49537.27","28166.64","4.507077","1.987874","6.624065","10.81048",130.82774051701534,143.35494962919722,151.85875061963162,0.46596169810599447,139.95342923302346,143.35494962919722,90.65644207163513,1.581299093074055
36015,327,2013,"7.3","7.3","25.55","72552.35","705.6","44961.66","25955.55","4.284308","1.987874","6.559049","10.71356",120.4510111746613,131.98461252553452,139.81392627870363,0.4290034933243352,128.85288702426686,131.98461252553452,72.55232313678823,1.8191645259476283
36015,327,2014,"7.3","7.3","25.55","64210.63","658.2","40445.08","23765.55","4.162169","1.987874","6.489509","10.6077",110.11942558536045,120.66374184557857,127.82150270469134,0.3922060744719326,117.80063750193347,120.66374184557857,64.21064455567455,1.879185961775477
36015,333,2009,"397.85","335.8","605.9","278131.3","1308.592","111620.6","67603.23","5.628093","5.986075","7.176707","11.62286",208.01179649262562,271.8239234038236,279.3048059627634,0.027696714398148137,262.52336670892544,273.5425045322287,278.1312153509318,0.9835016331665134
36015,333,2010,"354.05","335.8","605.9","274226.3","1428.24","110442.1","68906.7","5.613954","5.869438","7.264198","11.61225",214.00794874494275,279.65952531695496,287.3560519478246,0.028495100447499602,270.09087058668456,280.17956090012177,274.2263883231353,1.0217089705093279
36015,333,2011,"401.5","335.8","605.9","266077.4","1551.268","107373.9","69126.2","5.583787","5.995208","7.346828","11.58407",217.49872272874973,284.22116987747415,292.0432378028904,0.028959896058557068,274.4964367810107,286.12383504852136,266.0773351038413,1.0753408776318982
36015,333,2012,"416.1","335.8","605.9","260835","1667.536","105535.9","69992.09","5.563888","6.030926","7.419102","11.56681",221.55743630753642,289.5249818129539,297.49301626591927,0.029500312672955782,279.61877681737536,291.89385692059227,260.834993869819,1.1190747552311733
36015,333,2013,"335.8","335.8","605.9","257254","1777.043","104468.5","71203.17","5.550064","5.816516","7.482706","11.55664",225.85636768194095,295.1427035592101,303.2653436705233,0.03007271422181865,285.04428612352336,295.1427035592101,257.25401963618646,1.1472812124630998
36015,333,2014,"383.25","335.8","605.9","253328.9","1886.55","103249.8","72252.59","5.534688","5.948688","7.542505","11.54491",229.68163399232634,300.1414532170944,308.40166421865126,0.030582047395619604,289.87200170164533,301.59257136601656,253.3287367399275,1.190518593536578
36017,311,2009,"120.45","120.45","959.95","172019","388.2598","73992.2","17677.18","5.147605","4.791235","5.961675","11.21171",98.89879652994712,123.28439828045175,135.63583427907673,0.014712848122245359,121.5122357241273,123.28439828045175,172.01901103864708,0.7166905421445178
36017,311,2010,"365","120.45","959.95","261564.1","537.1062","123672.5","25448.04","5.566679","5.899898","6.286196","11.72539",152.0390728445028,189.52753995420457,208.51564641675915,0.022618351950630833,186.80315946175108,195.05885792373132,261.56400119420283,0.7457404575291935
36017,311,2011,"343.1","120.45","959.95","346424","691.3231","172246.7","32767.35","5.847663","5.838022","6.538607","12.05668",204.08968549243386,254.41233820840716,279.90102742189003,0.03036175010539949,250.75526540821178,261.17238186937436,346.42384121558604,0.7539099530590387
36017,311,2012,"507.35","120.45","959.95","423782.7","834.799","214093.1","39471.72","6.049221","6.229201","6.727191","12.27417",249.86116559869848,311.4697502427164,342.67482354711865,0.037171022399526236,306.9925005946934,325.85121880909304,423.7827746455385,0.7689109569912141
36017,311,2013,"427.05","120.45","959.95","494326.1","967.5341","249814.4","45607.33","6.203196","6.056901","6.874751","12.42847",290.009385427519,361.5173675777631,397.7365379700328,0.043143740788885936,356.3207039997418,374.7452385036355,494.3263862835664,0.7580927276025801
36017,311,2014,"339.45","120.45","959.95","561872.6","1100.269","284019.1","51477.7","6.331275","5.827327","7.00331","12.5568",329.03112791066354,410.1607506186526,451.25333273832837,0.04894887685488474,404.2648584014818,420.8805546498724,561.8725248191578,0.7490676907281335
36017,325,2009,"47.45","18.25","120.45","149075","448.1735","78537.48","17904.29","5.004449","3.859677","6.10518","11.27133",127.98614168854942,146.2786820816681,159.5438470429878,0.12979613465087766,143.9099026242896,150.06872921347374,149.0749202435294,1.006666506802894
36017,325,2010,"25.55","18.25","120.45","192931.6","476.8006","99583.74","20606.17","5.262336","3.240637","6.167099","11.50875",150.77783379193613,172.32789834296938,187.95531558809304,0.1529101491695075,169.53728812062587,173.44414243190678,192.93165364583183,0.8989926699654033
36017,325,2014,"18.25","18.25","120.45","334563","577.9131","169425.4","29038.87","5.812825","2.904165","6.359424","12.04017",222.2741864733878,254.04293487668318,277.08061467007616,0.22541761050286674,249.92906348500586,254.04293487668318,334.5629322036404,0.7593277988191871
36017,327,2011,"47.45","43.8","171.55","4757.039","10.61101","2403.678","474.574","1.559625","3.859677","2.361892","7.784755",4.095793277077175,4.873554621541143,5.189434109154132,0.002472637867812046,4.765253082930975,4.882579749758657,4.757037021733725,1.0263909503859983
36017,327,2012,"43.8","43.8","171.55","5371.496","10.58117","2713.653","500.3086","1.681106","3.779634","2.359076","7.906051",4.393147906041766,5.227374731149114,5.566187072420116,0.002652151399381624,5.111210499856199,5.227374731149114,5.371493558906825,0.9731696917854926
36017,327,2013,"43.8","43.8","171.55","5920.411","10.54419","2996.193","524.0739","1.778406","3.779634","2.355575","8.005098",4.649688490198114,5.532630505781432,5.891228002892397,0.0028070254176983584,5.409682792486244,5.532630505781432,5.920411756855093,0.9345009659801687
36017,327,2014,"43.8","43.8","171.55","6442.362","10.50721","3264.944","546.2014","1.862895","3.779634","2.352062","8.090998",4.883354484097051,5.81066797189003,6.1872864699236905,0.002948090004177379,5.681541629707061,5.81066797189003,6.442360434127063,0.9019470474066037
36019,322,2009,"803","346.75","1919.9","356814.2","941.0959","71929.45","31750.26","5.877215","6.688355","6.847045","11.18344",133.10111466378544,174.18969155047319,188.45710201946446,0.009069326172959523,171.04490269999948,178.327571616886,356.8141293079045,0.49977721443592926
36019,322,2010,"459.9","346.75","1919.9","294009","811.3973","66975.55","26883.82","5.68361","6.131009","6.698758","11.11208",120.36142943251258,157.5172403355374,170.41905503998944,0.008201261611703937,154.67345287167905,158.44521308690167,294.00888853678896,0.5389130031933562
36019,322,2011,"390.55","346.75","1919.9","226222.6","674.7777","61300.55","21571.5","5.421519","5.967556","6.514383","11.02354",106.22013096995116,139.01049511752032,150.39647195510304,0.007237693060154923,136.5008250489116,139.3275060735551,226.22249361344956,0.6158870581261761
36019,322,2012,"354.05","346.75","1919.9","170873.7","552","56404.8","17262.33","5.140925","5.869438","6.313548","10.94031",93.42201069338844,122.26156984344166,132.27568713139945,0.006365646815597869,120.0542818101331,122.30803906519553,170.87375346388387,0.7157801393474202
36019,322,2013,"379.6","346.75","1919.9","125114.6","443.0642","51891.04","13716.47","4.82923","5.939118","6.093715","10.8569",81.54144674516357,106.71345234784845,115.4540650308253,0.005556121592331856,104.78686718570738,106.89597094215655,125.11458532432499,0.8543845680746036
36019,322,2014,"346.75","346.75","1919.9","80516.18","334.1284","47422.27","10253.48","4.388458","5.848604","5.811525","10.76685",69.16568443762486,90.51726778171965,97.93129442404357,0.0047128542366105695,88.88308557517493,90.51726778171965,80.51616727709252,1.1242123270747455
36021,312,2009,"288.35","105.85","379.6","998.3156","1.024","220.7907","91.77106","-0.0016859","5.664175","0.0237166","5.397215",0.41542922281445194,0.5147932251473057,0.5459414243895239,0.0001137833762272808,0.5027492547736481,0.5355586913087845,0.9983155203311141,0.5364623512325585
36021,312,2010,"317.55","105.85","379.6","1933.716","2.016","427.6668","177.7585","0.6594433","5.760635","0.7011154","6.058344",0.8008269693009312,0.9923719268432434,1.0524166146707734,0.00021934132539736998,0.9691546475499317,1.0388064854298666,1.9337155352643194,0.5372074984585943
36021,312,2011,"321.2","105.85","379.6","2856.449","3.072","631.7416","262.5817","1.049579","5.772064","1.122329","6.448481",1.1896993533978177,1.4742563436970157,1.563458042717897,0.0003258509553274201,1.4397650200756082,1.5444283469267757,2.856448300153395,0.5406813583301465
36021,312,2012,"328.5","105.85","379.6","3643.926","4","805.9025","334.9712","1.293062","5.794537","1.386294","6.691963",1.5237199872762452,1.8881693520672138,2.002415368347654,0.0004173370457732983,1.8439942257721103,1.9810894453086387,3.643927195802032,0.543668777902847
36021,312,2013,"171.55","105.85","379.6","4309.586","4.8","953.122","396.1626","1.460842","5.144875","1.568616","6.859743",1.807312756222422,2.239592959595813,2.3751022948381295,0.000495011270291567,2.1871960166354505,2.272115200053969,4.309586673081714,0.5272234607197763
36021,312,2014,"105.85","105.85","379.6","4947.591","5.6","1094.225","454.8118","1.598901","4.662023","1.722767","6.997802",2.083242358069333,2.5815204934511464,2.7377185760014306,0.0005705866029234127,2.5211239015317033,2.5815204934511464,4.9475920318040085,0.521773112426544
36023,324,2009,"10.95","7.3","25.55","10316.49","55.20465","4696.257","2263.577","2.333744","2.393339","4.011047","8.454521",7.94210567926574,8.702589795570335,9.218826534617975,0.028286944605350143,8.496095099951278,8.805837143379861,10.316494271835657,0.8535687522669464
36023,324,2010,"7.3","7.3","25.55","7581.885","39.99572","3431.106","1642.02","2.025762","1.987874","3.688772","8.140638",5.814229168345717,6.370961741500118,6.74888654219604,0.020708208257310803,6.219791821221749,6.370961741500118,7.5818861412471215,0.8402871822145535
36023,324,2011,"7.3","7.3","25.55","4766.56","24.19966","2122.472","1004.393","1.561625","1.987874","3.186339","7.660337",3.5945113714279757,3.938698280320876,4.17234146057974,0.012802366041581595,3.84524100821733,3.938698280320876,4.766560616197125,0.8263187227572201
36023,324,2012,"7.3","7.3","25.55","2322.742","9.577848","999.495","448.2468","0.8427483","1.987874","2.259453","6.90725",1.6004728838740436,1.7537237037340665,1.8577544149675251,0.005700312944299103,1.712111419240683,1.7537237037340665,2.322741804099836,0.7550230941030964
36023,324,2013,"7.3","7.3","25.55","157.0343","0","18.57466","0","-1.851291","1.987874","0","2.921798",0.06304512280276084,0.06908191158878021,0.07317984353817782,0.000224544216405348,0.06744273880902117,0.06908191158878021,0.15703430410764624,0.4399160551660413
36023,324,2014,"7.3","7.3","25.55","0","0","0","0","0","1.987874","0","0",0.011344752236418013,0.012431051541365635,0.013168460250887276,4.0405956686117326e-5,0.012136088057556978,0.012431051541365635,1.0,0.012431051541365635
36023,327,2010,"3.65","3.65","91.25","36157.96","190.938","14729.25","9587.619","3.587897","1.294727","5.251948","9.59759",37.28371879771628,39.57169886805415,45.88702859234809,0.07209280507184862,39.3085601295419,39.57169886805415,36.15795573324043,1.0944119507197534
36023,327,2011,"10.95","3.65","91.25","42647.64","230.2986","17081.9","11611.32","3.752972","2.393339","5.439377","9.745774",43.80564235604643,46.49385157741631,53.91390204941683,0.08470377251142153,46.18468280774962,47.11218911674968,42.64764263170872,1.1046844845234554
36023,327,2012,"10.95","3.65","91.25","48891.45","268","19371.36","13529.15","3.889603","2.393339","5.590987","9.871551",50.08047887767406,53.15375432551145,61.636672528467706,0.09683696578717188,52.80029940038827,53.860664175757805,48.89147275566991,1.1016371800645262
36023,327,2013,"14.6","3.65","91.25","54862.75","304.0421","21580.34","15340.86","4.004835","2.681021","5.717166","9.979538",56.09162654831303,59.53378649892492,69.03490730574353,0.10846028318286087,59.13790646530747,60.721426599777246,54.86277129494586,1.106787447417391
36023,327,2014,"14.6","3.65","91.25","60557.51","340.0843","23684.75","17070.95","4.103593","2.681021","5.829194","10.07259",61.92792160524504,65.72823592472021,76.2179417987304,0.11974550084486513,65.29116484663645,67.03944915897148,60.557480203559685,1.107038287154999
36023,335,2009,"182.5","178.85","281.05","5985.063","25.98356","3021.811","1195.459","1.789267","5.20675","3.257464","8.013612",6.025171766903678,7.6486347772511545,7.8093246458857974,0.0015723079122763497,7.36742750714053,7.654373701130964,5.985063806365648,1.2789126313055936
36023,335,2010,"178.85","178.85","281.05","9389.793","38.72153","4333.296","1838.592","2.239623","5.186547","3.656396","8.374084",8.719135769439195,11.068478651518795,11.301015886240453,0.0022753154082353995,10.661538490755895,11.068478651518795,9.389790668995929,1.1787779985410871
36023,335,2011,"193.45","178.85","281.05","12711.41","52.24331","5567.138","2465.914","2.5425","5.265019","3.955912","8.624637",11.372555845230274,14.43685416934766,14.740157473470608,0.002967742701790104,13.9060733871325,14.480183212793795,12.71140980527337,1.1391484842843038
36023,335,2012,"211.7","178.85","281.05","15568.65","64.19747","6699.318","3004.465","2.745259","5.35517","4.161964","8.809761",13.755894882964443,17.462376188508596,17.829242566300085,0.00358969058504392,16.820360027373493,17.58029752422729,15.568645689283013,1.1292117423116026
36023,335,2013,"215.35","178.85","281.05","17999.14","74.58402","7737.357","3461.139","2.890324","5.372264","4.311926","8.953815",15.885585107404943,20.165904543485006,20.58956924265841,0.004145447154338591,19.424491319931548,20.317213364618365,17.99914037839606,1.1287879830641596
36023,335,2014,"178.85","178.85","281.05","20324.68","84.97058","8730.484","3897.954","3.011836","5.186547","4.442305","9.074576",17.956082078505727,22.79429021480222,23.27317456565795,0.004685756857688152,21.956242600804696,22.79429021480222,20.324681805797248,1.1215078510257692
36025,311,2009,"594.95","379.6","1051.2","186327.3","753.0397","157850","28477.33","5.227505","6.388477","6.624118","11.9694",200.57505743672155,263.58817950301636,276.2322948660978,0.01882685432263464,256.4415056021443,267.64254258139573,186.32733638709578,1.4364105008476442
36025,311,2010,"638.75","379.6","1051.2","222740.8","756.0264","195163.3","27577.48","5.406009","6.459513","6.628077","12.18159",227.53676324113493,299.0202369088746,313.36399988982606,0.021357598244418484,290.91289261529334,304.5550584939156,222.74085265815813,1.3673066923260742
36025,311,2011,"605.9","379.6","1051.2","255180.3","757.4663","228945.1","26235.22","5.54197","6.406715","6.629979","12.34124",250.0796742277067,328.6452807382831,344.4101335136314,0.02347357471016728,319.73471177830356,333.9573506951939,255.18020963209,1.3087117969558928
36025,311,2012,"496.4","379.6","1051.2","286425.9","762","261070.6","25355.31","5.65748","6.207382","6.635947","12.47255",270.75703312553844,355.81868633747854,372.8870257708851,0.025414442277258115,346.17136404903135,358.78709319546226,286.4259389657914,1.2526347805333133
36025,311,2013,"379.6","379.6","1051.2","316174.3","769.6274","291389.7","24784.6","5.756294","5.939118","6.645906","12.58242",289.9357410960233,381.02262138186944,399.2999735369608,0.027214639897396312,370.6919440768178,381.02262138186944,316.17441262136776,1.205102646424966
36025,311,2014,"744.6","379.6","1051.2","344469.6","777.2549","320282","24187.56","5.842006","6.612847","6.655768","12.67696",307.67980498002606,404.3412012488854,423.7371271370542,0.028880175533306716,393.37828661644215,414.88246531854236,344.469654175304,1.2044093297907879
