"resid","storage","storagemax"
"reservoir.117",20.2708579624593,6907.488
"reservoir.1170",6.49679661376809e-13,110447.0327
"reservoir.1171",47432.4716350051,70555.056
"reservoir.1172",12073.4191323194,12141.14364
"reservoir.1173",618.69301,7424.31612
"reservoir.1174",0,236828.16
"reservoir.1175",0,14678.412
"reservoir.1176",22976.4474934747,152951.52
"reservoir.1177",7534.51552766474,22511.01
"reservoir.1178",0,21131.97936
"reservoir.1179",0,91524.216
"reservoir.118",0,129762.096
"reservoir.1180",0,16651.98
"reservoir.1181",138.741739691014,11224.668
"reservoir.1182",0,57486.3354
"reservoir.1183",0,30977.61672
"reservoir.1184",1199.22256002458,30220.26
"reservoir.1185",0,18748.896
"reservoir.1186",0,132044.034
"reservoir.1187",0,120881.04
"reservoir.1188",0,11751.36396
"reservoir.1189",0,6802.6422
"reservoir.119",0,40088.1
"reservoir.1190",0,13198.236
"reservoir.1191",2.76322175017817e-15,164052.84
"reservoir.1192",0,14161.58388
"reservoir.1193",0,37991.184
"reservoir.1194",0,1541356.608
"reservoir.1195",1.11115080379277e-13,96211.44
"reservoir.1196",1.25339844222786e-14,17493.21336
"reservoir.1197",200.062862734298,567400.8
"reservoir.1198",9225.69067569271,91203.5112
"reservoir.1199",4999.513621414,83876.64
"reservoir.12",0,48229.068
"reservoir.120",10763.9676180882,19982.376
"reservoir.1200",16500.2585129393,25903.08
"reservoir.1201",0,10361.232
"reservoir.1202",1.83167647160924e-14,88193.82
"reservoir.1203",12405.1029043391,71973.558
"reservoir.1205",0,88810.56
"reservoir.1206",0,32070.48
"reservoir.1207",16563.4728402029,47760.3456
"reservoir.1208",2282.39742609102,10305.7254
"reservoir.1209",0,8387.664
"reservoir.121",8702.02308018703,91002.45396
"reservoir.1210",0,53224.662
"reservoir.1211",0,17577.09
"reservoir.1212",49339.2,49339.2
"reservoir.1213",0,43788.54
"reservoir.1214",0,11101.32
"reservoir.1215",0,721585.8
"reservoir.1216",0,29443.1676
"reservoir.1217",7040.99128933744,19612.332
"reservoir.1219",0,345374.4
"reservoir.122",0,308616.696
"reservoir.1220",0,162819.36
"reservoir.1221",0,17268.72
"reservoir.1222",0,72128.97648
"reservoir.1223",0,16898.676
"reservoir.1224",0,21585.9
"reservoir.1225",0,18502.2
"reservoir.1226",3.58738233931651e-13,69444.924
"reservoir.1227",0,9408.98544
"reservoir.1228",92.3524687358178,809779.62
"reservoir.1229",3.93107692451585e-13,92485.09692
"reservoir.123",10762.1475874416,17885.46
"reservoir.1230",0,9306.6066
"reservoir.1231",0,12088.104
"reservoir.1232",0,826431.6
"reservoir.1233",9750.43520127741,93411.4404
"reservoir.1234",0,46625.544
"reservoir.1235",0,11874.71196
"reservoir.1236",1654.37799566772,28370.04
"reservoir.1237",0,1074361.08
"reservoir.1238",0,77709.24
"reservoir.1239",0,50819.376
"reservoir.124",0,12951.54
"reservoir.1241",0,101145.36
"reservoir.1242",3436.60256240228,29603.52
"reservoir.1243",0,15467.8392
"reservoir.1244",0,18502.2
"reservoir.1245",0,11101.32
"reservoir.1246",13950.3756878806,553832.52
"reservoir.1247",0,42678.408
"reservoir.1249",0,16746.95796
"reservoir.125",0,14555.064
"reservoir.1250",0,37004.4
"reservoir.1251",0,14801.76
"reservoir.1252",0,37004.4
"reservoir.1253",0,37004.4
"reservoir.1254",0,98678.4
"reservoir.1255",17511.3985355985,160576.8934
"reservoir.1256",0,188722.44
"reservoir.1257",0,24025.72344
"reservoir.1258",3109.64474207618,4937250.396
"reservoir.1259",0,70925.1
"reservoir.126",813.296941014727,54026.424
"reservoir.1260",15782.7294627447,17145.372
"reservoir.1262",0,17996.4732
"reservoir.1263",0,526079.22
"reservoir.1264",0,91277.52
"reservoir.1265",0,14185.02
"reservoir.1266",0,20722.464
"reservoir.1267",0,435418.44
"reservoir.1268",0,23436.12
"reservoir.1269",0,8264.316
"reservoir.127",471.082615688371,57603.516
"reservoir.1270",0,17268.72
"reservoir.1271",0,20969.16
"reservoir.1272",0,10821.32004
"reservoir.1273",0,8580.08688
"reservoir.1274",0,44405.28
"reservoir.1275",0,108546.24
"reservoir.1276",0,19735.68
