"fips","year","obsirrigation","estirrigation"
"12127",2010,71922.43584,0.0
"12129",2010,553.0368000000001,0.0
"12131",2010,3567.08736,0.0
"12133",2010,1479.37344,1479.8100000000002
"13001",2010,2640.7507199999995,10145.475726018112
"13003",2010,622.1664000000001,548.5118644067798
"13005",2010,1119.89952,963.9188372093023
"13007",2010,48999.06048,41855.35886409736
"13009",2010,110.60736,0.0
"13011",2010,0.0,0.0
"13013",2010,1092.24768,0.0
"13015",2010,3760.6502400000004,0.0
"13017",2010,3276.74304,2485.061176470588
"13019",2010,4299.8611200000005,5468.119311850452
"13021",2010,898.6848,0.0
"13023",2010,9899.35872,5901.358787878787
"13025",2010,414.77759999999995,414.8999999999999
"13027",2010,9097.45536,7964.679493670887
"13029",2010,96.78144,0.0
"13031",2010,3069.35424,2738.1098196948683
"13033",2010,8986.848,20772.445108403244
"13035",2010,262.69248,0.0
"13037",2010,37122.5952,26535.885168539327
"13039",2010,1050.76992,0.0
"13043",2010,1755.89184,0.0
"13045",2010,953.98848,0.0
"13047",2010,1396.4179199999999,0.0
"13049",2010,0.0,0.0
"13051",2010,1686.76224,0.0
"13053",2010,0.0,0.0
"13055",2010,0.0,0.0
"13057",2010,3318.2207999999996,0.0
"13059",2010,1700.58816,0.0
"13061",2010,6014.275199999999,5654.429508196721
"13063",2010,221.21472,0.0
"13065",2010,3622.39104,0.0
"13067",2010,2723.70624,0.0
"13069",2010,5184.72,8079.676784588449
"13071",2010,23531.71584,22577.30383663366
"13073",2010,1465.54752,0.0
"13075",2010,8184.94464,7896.840774193549
"13077",2010,2378.05824,0.0
"13079",2010,2557.7952,0.0
"13081",2010,22591.55328,22598.219999999998
"13083",2010,0.0,0.0
"13085",2010,442.42944,0.0
"13087",2010,96200.75136,76545.90681818181
"13089",2010,3207.61344,0.0
"13091",2010,14489.56416,10950.901333333333
"13093",2010,36099.477119999996,31534.40074973601
"13095",2010,23504.064,23511.0
"13097",2010,829.5551999999999,0.0
"13099",2010,48418.37184000001,42009.92565629229
"13101",2010,1617.6326399999998,0.0
"13103",2010,317.99616000000003,267.3519205741354
"13105",2010,663.64416,0.0
"13107",2010,3788.30208,3473.635
"13109",2010,3110.832,2489.4
"13111",2010,27.65184,0.0
"13113",2010,1202.8550400000001,0.0
"13115",2010,2765.184,0.0
"13117",2010,801.90336,0.0
"13119",2010,580.68864,0.0
"13121",2010,5157.06816,0.0
"13123",2010,456.25536000000005,0.0
"13125",2010,55.30368,0.0
"13127",2010,4783.76832,0.0
"13129",2010,2018.5843200000002,0.0
"13131",2010,8516.766720000001,6440.434518847986
"13133",2010,2640.7507199999995,0.0
"13135",2010,2585.44704,0.0
"13137",2010,801.90336,0.0
"13139",2010,1894.15104,0.0
"13141",2010,898.6848,0.0
"13143",2010,304.17024,0.0
"13145",2010,276.51840000000004,0.0
"13147",2010,1548.50304,0.0
"13149",2010,0.0,0.0
"13151",2010,3332.0467200000003,0.0
"13153",2010,9277.19232,0.0
"13155",2010,10687.43616,10601.878816680965
"13157",2010,594.51456,0.0
"13159",2010,635.9923200000001,0.0
"13161",2010,3470.30592,3358.62448051948
"13163",2010,9802.57728,8178.31459260707
"13165",2010,2461.0137600000003,4036.967427171002
"13167",2010,1092.24768,1139.6955859844943
"13169",2010,373.29984,0.0
"13171",2010,1866.4992000000002,0.0
"13173",2010,1258.15872,1043.2998469846984
"13175",2010,7631.90784,2375.0719999999997
"13177",2010,55511.068799999994,55527.44999999999
"13179",2010,27.65184,0.0
