"variable","optimized"
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",49594.380000000114
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",13788.509999999886
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",12059.760000000002
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
