"filepath","choice","costs","objective","exclcosts"
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",5.9948425031894095,2.8076999087306458e10,2.837642563097779e10
"currentprofits-pfixed-lybymc.csv","optimal",6.036438506075867,4.165074157260638e10,4.1921555805200745e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.036438506075867,3.131332841864758e10,3.1618484651678673e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.036438506075867,2.807492147686573e10,2.837642563097779e10
"currentprofits-pfixed-lybymc.csv","optimal",6.07832312829723,4.164886249535421e10,4.1921550396519936e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.07832312829723,3.1311211052003983e10,3.1618484651678677e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.07832312829723,2.807283178767018e10,2.837593108591679e10
"currentprofits-pfixed-lybymc.csv","optimal",6.120498372476699,4.164697044496313e10,4.192154596859892e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.120498372476699,3.130907899373348e10,3.1618484651678673e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.120498372476699,2.807072869333901e10,2.837593108591679e10
"currentprofits-pfixed-lybymc.csv","optimal",6.1629662551329405,4.164506526659221e10,4.192154596859892e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.1629662551329405,3.130693357063918e10,3.1618057101041603e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.1629662551329405,2.8068611087455093e10,2.837590946858491e10
"currentprofits-pfixed-lybymc.csv","optimal",6.205728806776502,4.164314766716651e10,4.192138503454577e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.205728806776502,3.130477513587014e10,3.161798511029235e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.205728806776502,2.8066478857235233e10,2.837590946858491e10
"currentprofits-pfixed-lybymc.csv","optimal",6.248788072006892,4.164121714906001e10,4.192094104623244e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.248788072006892,3.1302601912467854e10,3.1617979319244034e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.248788072006892,2.8064332595209198e10,2.8375783285926533e10
"currentprofits-pfixed-lybymc.csv","optimal",6.292146109610345,4.163927674087365e10,4.192051018850484e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.292146109610345,3.1300414901831287e10,3.161765822912941e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.292146109610345,2.8062171553643322e10,2.8375783285926533e10
"currentprofits-pfixed-lybymc.csv","optimal",6.33580499265825,4.163732597429228e10,4.192041233913051e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.33580499265825,3.1298213908659275e10,3.1617583857756737e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.33580499265825,2.8059995517406364e10,2.8375783285926533e10
"currentprofits-pfixed-lybymc.csv","optimal",6.3797668086062815,4.163536174233076e10,4.192041233913051e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.3797668086062815,3.1295998601861176e10,3.1617343142823906e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.3797668086062815,2.8057804382456047e10,2.8375783285926533e10
"currentprofits-pfixed-lybymc.csv","optimal",6.424033659394192,4.163338388128751e10,4.192041233913051e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.424033659394192,3.1293768910514668e10,3.1617343142823906e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.424033659394192,2.8055598141235516e10,2.837575660605453e10
"currentprofits-pfixed-lybymc.csv","optimal",6.468607661546324,4.163139229659536e10,4.192041233913051e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.468607661546324,3.1291524327057846e10,3.161724084395035e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.468607661546324,2.8053376800393566e10,2.837572609908084e10
"currentprofits-pfixed-lybymc.csv","optimal",6.513490946272802,4.162938865607442e10,4.1920152619048904e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.513490946272802,3.1289264300181538e10,3.161724084395035e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.513490946272802,2.805114013740339e10,2.8375726099080837e10
"currentprofits-pfixed-lybymc.csv","optimal",6.558685659571431,4.1627371152088684e10,4.1920152619048904e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.558685659571431,3.1286989081521755e10,3.1617130918596794e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.558685659571431,2.8048887955033096e10,2.837572609908084e10
"currentprofits-pfixed-lybymc.csv","optimal",6.604193962330303,4.162533986072328e10,4.192009136001443e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.604193962330303,3.1284698348979492e10,3.1617130918596794e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.604193962330303,2.8046620145599136e10,2.837572609908084e10
"currentprofits-pfixed-lybymc.csv","optimal",6.650018030431119,4.162329468869267e10,4.192009136001443e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.650018030431119,3.1282391721888245e10,3.1617130918596794e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.650018030431119,2.8044336600671436e10,2.8375726099080837e10
"currentprofits-pfixed-lybymc.csv","optimal",6.69616005485322,4.16212364684845e10,4.191925245144112e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.69616005485322,3.128006916251141e10,3.1617118525872208e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.69616005485322,2.804203721106696e10,2.837572609908084e10
"currentprofits-pfixed-lybymc.csv","optimal",6.742622241778342,4.161917134665743e10,4.191881856952181e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.742622241778342,3.1277730501189766e10,3.161711852587221e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.742622241778342,2.8039721909048824e10,2.8375697217649128e10
"currentprofits-pfixed-lybymc.csv","optimal",6.789406812696108,4.1617093462477486e10,4.19185395740499e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.789406812696108,3.127537568339136e10,3.1617107880950653e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.789406812696108,2.8037390754593445e10,2.8375608250521767e10
"currentprofits-pfixed-lybymc.csv","optimal",6.836516004510237,4.161500183899946e10,4.19185395740499e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.836516004510237,3.127300453627163e10,3.161704425483999e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.836516004510237,2.8035044203658287e10,2.837556419987245e10
"currentprofits-pfixed-lybymc.csv","optimal",6.883952069645498,4.161289573414081e10,4.191853124815674e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.883952069645498,3.127061737145136e10,3.161704425483999e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.883952069645498,2.8032681460894318e10,2.8375564199872448e10
"currentprofits-pfixed-lybymc.csv","optimal",6.931717276155405,4.1610775060310844e10,4.191852761980492e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.931717276155405,3.1268213705955868e10,3.161703141404466e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.931717276155405,2.8030302323929035e10,2.8375564199872448e10
"currentprofits-pfixed-lybymc.csv","optimal",6.9798139078306605,4.1608639678714615e10,4.191852761980492e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",6.9798139078306605,3.1265793388427155e10,3.161703141404466e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",6.9798139078306605,2.8027906679009174e10,2.837556419987245e10
"currentprofits-pfixed-lybymc.csv","optimal",7.028244264308349,4.160648948049248e10,4.191852761980492e10
