fips,naics,year,MGwithdrawal,MG_min_of_min_withdrawal,MG_max_of_maxwithdrawl,fix_revenue2015dollar,hours,materials_2015dollar,labor_2015dollar,ln_fix_revenue,ln_MGwithdrawal,ln_hours,ln_materials
36005,322,2013,.,.,.,.,40.99066,4046.853,.,.,.,3.713344,8.305695
36005,322,2014,.,.,.,.,.,.,.,.,.,.,.
36005,324,2009,0,.,.,1231.345,5.030879,1026.533,183.1695,0.2081073,.,1.615595,6.933942
36005,324,2010,0,.,.,2385.089,9.904543,1988.371,354.7954,0.8692364,.,2.292994,7.595071
36005,324,2011,0,.,.,3523.21,15.09264,2937.186,524.0974,1.259373,.,2.714207,7.985208
36005,324,2012,0,.,.,4494.502,19.65187,3746.921,668.5825,1.502855,.,2.978173,8.228689
36005,324,2013,0,.,.,5315.542,23.58224,4431.396,790.7168,1.670635,.,3.160494,8.39647
36005,324,2014,0,.,.,6102.472,27.51262,5087.434,907.7772,1.808694,.,3.314645,8.534529
36005,325,2009,0,.,.,190527.4,750.7228,111842.3,28575.52,5.249796,.,6.621037,11.62484
36005,325,2010,0,.,.,193078.7,825.8152,130139.6,29443.23,5.263098,.,6.716371,11.77636
36005,325,2011,0,.,.,192597.4,905.6718,146237.4,29904.3,5.260602,.,6.808677,11.89299
36005,325,2012,0,.,.,194062.3,976,161783.5,30487.75,5.268179,.,6.883462,11.99401
36005,325,2013,0,.,.,207624.4,1036.8,176546.8,31077.65,5.335731,.,6.943894,12.08134
36005,325,2014,0,.,.,222149.6,1097.6,190554.4,31595.15,5.403351,.,7.000881,12.15769
36005,326,2009,0,.,.,261317,1138.672,100313.8,37012.28,5.565734,.,7.037618,11.51606
36005,326,2010,0,.,.,236556.8,1076.448,77751.79,32119.73,5.466188,.,6.981422,11.26128
36005,326,2011,0,.,.,207391.4,1012.416,53742.13,26676.03,5.334608,.,6.920095,10.89195
36005,326,2012,0,.,.,185647.4,952,34063.21,22346.82,5.223849,.,6.858565,10.43597
36005,326,2013,0,.,.,169567.6,895.2,17815.59,18864.21,5.133252,.,6.797047,9.787829
36005,326,2014,0,.,.,153675,838.4,2026.843,15453.52,5.03484,.,6.731495,7.614234
36005,327,2009,0,.,.,60859.32,320.4154,32213.88,11290.47,4.108565,.,5.769618,10.38015
36005,327,2010,0,.,.,54912.37,323.9436,32714.99,11992.65,4.005739,.,5.78057,10.39559
36005,327,2011,0,.,.,48156.04,327.8366,32696.78,12522.24,3.874446,.,5.792515,10.39503
36005,327,2012,0,.,.,46080.12,331,33010.28,13069.84,3.830382,.,5.802118,10.40457
36005,327,2013,0,.,.,47104.65,333.4337,33509.37,13595.27,3.852372,.,5.809444,10.41958
36005,327,2014,0,.,.,48015.49,335.8674,33934.52,14080.97,3.871524,.,5.816716,10.43219
36005,331,2009,0,.,.,2678.596,11.42515,1300.54,400.0172,0.9852929,.,2.435817,7.170535
36005,331,2010,0,.,.,2606.556,11.03718,1572.744,388.1888,0.9580297,.,2.401269,7.360577
36005,331,2011,0,.,.,2515.591,10.86896,1845.023,374.2578,0.9225079,.,2.385911,7.520247
36005,331,2012,0,.,.,2459.763,10.75512,2050.624,365.9035,0.900065,.,2.375382,7.625899
36005,331,2013,0,.,.,2550.52,10.61335,2190.647,359.8729,0.9362972,.,2.362113,7.691952
36005,331,2014,0,.,.,2675.988,10.47159,2322.596,353.3918,0.9843185,.,2.348665,7.750441
36005,332,2009,0,.,.,444071.3,2604.312,199845.6,84225.38,6.095985,.,7.864924,12.2053
36005,332,2010,0,.,.,377234.6,2400.208,168986.7,78853.77,5.932867,.,7.783311,12.03757
36005,332,2011,0,.,.,304670.6,2193.336,135478.6,72561.46,5.719231,.,7.693179,11.81657
36005,332,2012,0,.,.,244933.6,1992,108004.1,67269.58,5.500988,.,7.596894,11.58992
36005,332,2013,0,.,.,194745.1,1796.2,85065.34,62513.29,5.271692,.,7.493429,11.35118
36005,332,2014,0,.,.,145728.6,1600.4,62669.1,57790.64,4.981746,.,7.378009,11.04562
36005,333,2009,0,.,.,124440.7,719.544,69051.22,26173.85,4.82383,.,6.578618,11.1426
