FIPS,year_cal,month_num,wateruse_perconnection,tot_maxwithdraw_fips,ps_w_total,ps_gw_total,ps_sw_total,cnty_avg_p,state_yr_avg_p,predict_accounts,name_county,median_age,college_more,average_household_size,median_household_income,median_year_structure_built,owner_occupied_housing_units,total_pop,unemployment,housing_density,precip_monthly_avg_dailytot,precip_monthly_total,rainydays_month,temp_monthly_dailymax,temp_monthly_dailymean,annual_avg_dailymax,annual_avg_dailymean,precip_annual_total,precip_annual_avg_monthly_total
36001,2011,10,13624.27,.,3.36159,0.508505,2.853085,0.0026759,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,3.6263655,112.4173,15,14.77377,10.521579,13.874198,9.3357777,1453.421,121.1184
36001,2011,11,13387.59,.,3.303193,0.4996713,2.803522,0.0026541,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,1.805253,54.15759,5,11.169974,6.0886414,13.874198,9.3357777,1453.421,121.1184
36001,2011,12,13266.7,.,3.273366,0.4951594,2.778207,0.0026202,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,3.1124941,90.26233,6,4.0775154,0.74341588,13.874198,9.3357777,1453.421,121.1184
36001,2011,13,177302.8,56.0647,43.74688,6.617555,37.12933,0.0022684,0.0030062,90058.45,Albany,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,.,.,.,.,.,13.874198,9.3357777,1453.421,121.1184
36001,2012,1,13861.51,.,3.433392,0.8067223,2.62667,0.002595,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,2.201848,68.25729,10,0.25800821,-2.5820787,14.897609,10.422703,878.925,73.24375
36001,2012,2,13332.8,.,3.302435,0.7759523,2.526483,0.002562,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,0.54150583,14.62066,2,2.9051274,-0.12401797,14.897609,10.422703,878.925,73.24375
36001,2012,3,14184.18,.,3.513317,0.8255017,2.687815,0.0026162,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,1.6641485,51.5886,8,11.710888,6.7665846,14.897609,10.422703,878.925,73.24375
36001,2012,4,13997.63,.,3.467109,0.8146446,2.652465,0.0026443,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,2.518728,75.56184,5,13.839225,8.4190735,14.897609,10.422703,878.925,73.24375
36001,2012,5,15975.82,.,3.957092,0.9297727,3.027319,0.002658,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,4.4036594,136.5134,15,22.027114,16.794237,14.897609,10.422703,878.925,73.24375
36001,2012,6,17135.69,.,4.244381,0.9972754,3.247106,0.002843,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,1.9788984,59.36695,10,23.963167,18.741397,14.897609,10.422703,878.925,73.24375
36001,2012,7,18796.8,.,4.655828,1.09395,3.561878,0.0020861,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,2.5215765,78.16887,11,27.648426,22.755467,14.897609,10.422703,878.925,73.24375
36001,2012,8,17820.04,.,4.41389,1.037104,3.376787,0.0028611,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,2.683474,83.18769,10,27.111588,21.857765,14.897609,10.422703,878.925,73.24375
36001,2012,9,16408.75,.,4.064324,0.9549685,3.109356,0.0028466,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,3.8202618,114.6079,10,22.270395,16.793473,14.897609,10.422703,878.925,73.24375
36001,2012,10,14070.61,.,3.485185,0.8188918,2.666293,0.0027281,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,2.2797826,70.67326,15,16.062172,11.525875,14.897609,10.422703,878.925,73.24375
36001,2012,11,13826.18,.,3.424641,0.8046661,2.619975,0.0027617,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,0.70864707,21.25941,3,6.6143473,2.6611725,14.897609,10.422703,878.925,73.24375
36001,2012,12,13701.33,.,3.393717,0.7974002,2.596317,0.0027059,0.003335,.,.,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,3.3909399,105.1191,16,3.8160645,0.9418963,14.897609,10.422703,878.925,73.24375
36001,2012,13,183111.3,71.38,45.35531,10.65685,34.69846,0.002318,0.003335,90407.78,Albany,37.9,0.6596025,2.35,60011.15,1958,0.5881655,306124,0.0676716,263.6915,.,.,.,.,.,14.897609,10.422703,878.925,73.24375
36001,2013,1,12542.38,.,3.116426,0.7772248,2.339202,0.0026983,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,1.1843298,36.71422,7,-0.2374112,-3.5649879,13.332006,9.0399922,1046.466,87.20548
36001,2013,2,12063.99,.,2.99756,0.7475798,2.24998,0.0025254,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,1.4933863,41.81482,5,0.09456024,-3.0422272,13.332006,9.0399922,1046.466,87.20548
36001,2013,3,12834.35,.,3.188973,0.7953175,2.393655,0.0026856,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,1.691892,52.44865,6,3.5605034,0.08213048,13.332006,9.0399922,1046.466,87.20548
36001,2013,4,12665.55,.,3.147031,0.7848574,2.362173,0.0026405,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,2.4202993,72.60898,8,12.693003,7.2983398,13.332006,9.0399922,1046.466,87.20548
36001,2013,5,14455.48,.,3.591779,0.8957758,2.696003,0.0027632,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,5.5106594,170.8304,12,20.363676,14.913008,13.332006,9.0399922,1046.466,87.20548
36001,2013,6,15504.97,.,3.852547,0.9608103,2.891736,0.0028651,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,6.4509505,193.5285,15,24.269873,19.536341,13.332006,9.0399922,1046.466,87.20548
36001,2013,7,17008.01,.,4.226009,1.05395,3.172059,0.0029606,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,3.2435137,100.5489,10,27.728194,23.566585,13.332006,9.0399922,1046.466,87.20548
36001,2013,8,16124.19,.,4.006407,0.9991824,3.007224,0.0028572,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,2.5182259,78.065,8,25.682798,20.445652,13.332006,9.0399922,1046.466,87.20548
36001,2013,9,14847.21,.,3.689112,0.9200503,2.769062,0.0028359,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,3.8109064,114.3272,9,21.672639,16.116071,13.332006,9.0399922,1046.466,87.20548
36001,2013,10,12731.58,.,3.163438,0.7889493,2.374489,0.0027702,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,1.5250181,47.27556,4,16.279263,11.724472,13.332006,9.0399922,1046.466,87.20548
36001,2013,11,12510.41,.,3.108483,0.7752438,2.33324,0.002699,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,2.0735089,62.20527,9,6.4253479,2.7260061,13.332006,9.0399922,1046.466,87.20548
36001,2013,12,12397.44,.,3.080414,0.7682435,2.312171,0.0027209,0.0039663,.,.,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,2.4547806,76.0982,11,0.54905927,-2.1837377,13.332006,9.0399922,1046.466,87.20548
