"collection","colid","area","lat","lon","elev","MAXCAP","fips","height","normcap"
"reservoir",2587,"NA",30.8733,-89.1234,"NA",14579733.6,28131,14.9352,9180
"reservoir",2588,"8932.8755099999998",31.0667,-94.1,"NA",6919822800,48241,34.4424,2852600
"reservoir",2589,"103.5996",31.0617,-96.2867,"NA",30837000,48395,14.9352,8400
"reservoir",2590,"621.59760000000006",31,-92.3834,"NA",123348000,22039,7.3152,11000
"reservoir",2591,"3400.6568699999998",31.0333,-97.5334,"NA",1249885284,48027,59.436,235700
"reservoir",2592,"4299.3833999999997",30.3883,-84.6417,"NA",317004360,12073,18.5928,146000
"reservoir",2593,"266.76897000000002",30.7083,-88.3417,"NA",168370020,1097,17.0688,105000
"reservoir",2594,"147.62943000000001",30.8183,-92.2667,"NA",16281936,22039,2.4384,9700
"reservoir",2595,"19613.994269999999",30.7833,-94.1667,"NA",377938272,48457,13.1064,124700
"reservoir",2596,"NA",30.7317,-92.3634,"NA",29603520,22039,1.8288,10000
"reservoir",2597,"80937.1875",30.7517,-98.4184,"NA",1603524000,48053,44.5008,992000
"reservoir",2598,"538.71792000000005",30.7333,-93.09,"NA",70925100,22011,11.8872,9200
"reservoir",2599,"1012.9450890000001",30.2667,-85.605,"NA",10176210,NA,3.048,8250
"reservoir",2600,"81040.787100000001",30.73,-98.385,"NA",43171800,48053,30.48,17540
"reservoir",2601,"NA",30.6217,-91.4767,"NA",197356800,22077,1.8288,128000
"reservoir",2602,"1890.6927000000001",30.7033,-97.3167,"NA",692105628,48491,34.7472,65500
"reservoir",2603,"NA",30.7083,-96.4517,"NA",27136560,48041,17.9832,15227
"reservoir",2604,"639.72753",30.675,-97.725,"NA",271488948,48491,49.0728,37100
"reservoir",2605,"NA",30.125,-85.1784,"NA",50079288,12045,6.7056,34800
"reservoir",2606,"42949.804170000003",30.6333,-95.0151,"NA",2522466600,48373,30.48,1788000
"reservoir",2607,"220.14914999999999",30.61,-96.0617,"NA",70559989.92,48185,79.248,26824
"reservoir",2608,"NA",30.575,-97.0484,"NA",24669600,48331,15.24,15650
"reservoir",2609,"93990.737099999998",30.555,-98.3383,"NA",273832560,48053,35.9664,138460
"reservoir",2610,"NA",30.5567,-98.2567,"NA",3975629388,48053,30.1752,8760
"reservoir",2611,"NA",29.5433,-81.725,"NA",246696000,12107,12.192,171600
"reservoir",2613,"NA",30.43,-95.5434,"NA",26889864,48339,17.0688,17000
"reservoir",2614,"NA",29.5067,-81.81,"NA",148017600,12107,11.5824,76000
"reservoir",2615,"98756.318700000003",30.3916,-97.9067,"NA",3833576897,48453,68.2752,1170752
"reservoir",2616,"1152.54555",30.3567,-95.56,"NA",872033355.6,48339,24.9936,430260
"reservoir",2617,"2608.1199299999998",30.3333,-96.5334,"NA",1269004224,48051,22.86,160100
"reservoir",2618,"99041.217600000004",30.295,-97.7867,"NA",117180600,48453,30.48,21000
"reservoir",2619,"NA",30.285,-97.5967,"NA",55753296,48453,22.86,33940
"reservoir",2620,"NA",30.155,-97.2917,"NA",20922287.76,48021,21.9456,16590
"reservoir",2621,"NA",30.045,-91.8517,"NA",11224668,22045,2.4384,7700
"reservoir",2622,"2356.8908999999999",29.0783,-81.8817,"NA",186502176,12083,9.7536,4350
"reservoir",2623,"7324.49172",29.92,-95.1317,"NA",347594664,48201,18.8976,146700
"reservoir",2624,"2608.1199299999998",29.915,-96.7367,"NA",109320865.4,48149,31.0896,71400
"reservoir",2625,"3708.8656799999999",29.8667,-98.2,"NA",1392968964,48091,66.7512,386200
"reservoir",2626,"NA",28.87,-81.3434,"NA",11187663.6,12127,7.62,7020
"reservoir",2627,"23.309909999999999",29.8533,-95.1667,"NA",26073300.24,48201,3.6576,5354
