"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60"
-5.763482601023132e6,-6.555979453694827e6,-6.661632117164526e6,-6.793745429962972e6,-7.619238583157448e6,-7.399276149190401e6,-3.845164344677919e6,-4.873390388353417e6,-5.145515606304902e6,-5.620232402851031e6,-3.7448772255680487e6,-6.649901284801091e6,-5.836675870149435e6,-4.024210388989006e6,-2.7259433921224456e6,-5.087278169437749e6,-5.350231860261043e6,-4.699686993046645e6,-2.2414983317745365e6,-5.070853155786467e6,-5.079574047779769e6,-5.348737835478453e6,-5.911273110242422e6,-6.316803649816832e6,-4.592999036144946e6,-5.86478528886397e6,-5.176393118849163e6,-2.8869412402357203e6,-3.23186629056403e6,-3.587164246508177e6,-5.122080282072891e6,-4.1523068391714715e6,-3.2107708260061173e6,-3.765615631424457e6,-3.2524719626425547e6,-3.3757127913301005e6,-4.569152759168622e6,-4.42586142003907e6,-6.842925732563425e6,-2.5155593345639375e6,-4.108393270371679e6,-3.3259469974252004e6,-2.4016882750119944e6,-2.5696033586321305e6,-4.642341573649624e6,-4.297410193487402e6,-3.5723258219508487e6,-3.707106277950453e6,-5.044288115744043e6,-4.427913934008373e6,-5.074114719777914e6,-7.650354250296599e6,-6.938155988158385e6,-6.57247773980971e6,-5.128797828134553e6,-5.16442874346433e6,-5.162954992370554e6,-5.672381625352145e6,-5.651703008646228e6,-2.6143559269271903e6
2.740818908626379e6,2.9182032174643194e6,2.8211639339840803e6,2.7811633480503694e6,2.455455805914135e6,2.7945260958353207e6,4.561160443772752e6,3.4268140859070523e6,3.724404881241807e6,3.383080116724043e6,4.607477512491636e6,2.468252306823317e6,2.617194885647451e6,3.092376124720215e6,4.10286018475896e6,3.439344312272203e6,3.7038940076285973e6,3.699465896733888e6,4.706444599582239e6,3.520644810382239e6,3.680133531632572e6,3.268280017443876e6,3.5213575468451898e6,3.1171192202363396e6,3.2786705670336816e6,4.358764474421731e6,3.6118412326753624e6,3.7819006705371323e6,4.0714944174231854e6,3.7466357425991474e6,3.217967476485424e6,3.35821568696324e6,3.975929107350259e6,3.827002445773551e6,3.504070730654643e6,3.7633429211318716e6,3.2119474261136297e6,3.8358057999810767e6,2.7902821001279764e6,3.90959082669545e6,3.2849019951526625e6,3.955494442921696e6,4.1268195707164626e6,4.599205235467157e6,3.3975616977729625e6,3.386372000613148e6,4.463881969877984e6,3.2713670341436146e6,3.4418736952707237e6,3.2076594330835193e6,3.16850277068311e6,1.9617641464131065e6,2.9425025736538544e6,3.3162276010350916e6,3.5081731760279243e6,3.264675791851159e6,4.346532154399773e6,2.828699810605448e6,3.1056039215984633e6,5.589723112000181e6
2.180101071567611e7,1.7000546603282932e7,1.3623909645082295e7,1.566229066235714e7,1.3922496092183243e7,1.6280726953871315e7,1.66275781405839e7,1.5970569166437194e7,1.7710377132711247e7,1.3259113165931916e7,1.349286527489043e7,1.6009920012187775e7,1.5939433702969613e7,1.5544863009286616e7,1.2454232934968939e7,1.740717581589192e7,1.49619764738362e7,1.6636042099875735e7,1.3847911647024421e7,1.2457324849809114e7,1.120581348623158e7,1.1701059712326486e7,1.5862052942927891e7,1.2406619713555867e7,1.162060352764872e7,1.2171992175339647e7,1.190181818947339e7,1.5202426579491237e7,1.1042788602092223e7,1.2881379914701361e7,8.841424480842136e6,1.2097314170684235e7,1.2309157281643257e7,9.576101642790878e6,1.2582947148949822e7,1.0435161282450758e7,1.1503932007522194e7,1.1836730418109568e7,9.964255502808562e6,1.1973578981844127e7,9.385475852787748e6,1.246854102665281e7,1.2028999554050332e7,9.789064560323535e6,9.294085933446582e6,6.352264737742396e6,1.095457339841317e7,1.0236792741494622e7,1.0174319784172377e7,1.0384266470406776e7,6.446581360418724e6,6.647434918802476e6,5.2074067277133865e6,6.169132317905256e6,9.696591669053148e6,5.962150386377685e6,8.066931367973221e6,9.344577646886677e6,8.407480680994824e6,8.587682819619719e6
64237.19951347946,128946.84552975309,79362.76405619396,104272.59404069101,57593.26847199896,63480.35906536154,94329.68514458822,162103.97954936358,80183.30936111543,82246.58124622014,121545.26438137038,137785.22974791235,99756.62699973567,51289.973965053374,113180.31582799797,92023.73709572777,64254.83811704167,126227.99236191086,124030.13686400959,147697.0812308356,119729.30690405497,141667.1358128451,175706.34460156233,116801.3514511225,138841.86639014905,123872.14817090996,125984.47005496114,64069.85053203874,139997.05873017563,127226.44976073662,57467.696547161104,75645.58614899863,132400.7215839277,155182.02138493105,126437.80598945897,157893.07580942952,204632.93099476697,95202.06160509857,99044.32749090562,93678.81441533954,152647.72284929254,148049.04379141892,161915.1329186542,130374.18343899623,133694.3711219406,93779.42827178733,91798.03415291505,172861.53535394103,120536.29364998029,83414.4866586264,77688.79705825886,65005.192105475675,62056.27870025735,66646.95786553748,165237.14812399112,91695.35196521012,114257.06669346632,98395.41793372354,103048.14232394163,141415.62995253707
-17305.131190400498,-575244.3396456831,230188.19572333986,-286019.72671567654,-237702.32288583947,-219110.7902441104,1.3546930496655083e6,-565718.059542396,279831.8420082533,-349704.31837279256,188056.0803828075,-312695.30014360644,-159689.18314354977,1.0643247324071943e6,1.1051373570636043e6,-429853.48671531875,326397.7885532144,614057.7717263927,649119.9629076641,557414.9831798816,-69377.40039670182,-110360.26271389228,464084.5839622643,-512076.9302348525,-358343.4536377065,-550366.7694885728,-432420.47585543594,1.2985904135262154e6,91070.48595806846,635749.9331530245,84490.52868597722,296678.4753931775,1.019264570083234e6,1.3138690631334851e6,1.4431378839522528e6,575115.8233218348,-247812.17129072393,312667.48404725443,90181.291727757,-468648.4408082764,136000.7667473867,795660.9470467208,948393.9408991502,-789215.4220087919,81243.56515765756,-554898.9999905557,53479.85631956147,-210588.25467795157,-627690.1850473093,-627126.5393543125,-21663.379519274276,449860.8594026512,-41358.383327316005,1.0480185882566067e6,1.200934470017411e6,797157.8909517507,627154.3882226372,637007.6365476786,248067.1703424497,1.726368289947824e6
-782593.6609459087,-546885.9235868157,647919.9982581303,72726.47742466937,-696726.3711193945,-209259.59640310908,-605089.4072506768,359555.90517682774,-839639.0423104559,1.3447072555218365e6,560677.1690277447,592754.1773237815,-833079.6062802039,17676.38571213006,-596534.539163179,265902.31131784065,-759113.7691865353,1.1054007165740782e6,1.29497333349303e6,791599.0438234681,-771881.7539934039,444126.552919464,-326141.02369258244,1.6828833325528454e6,-471258.6040229641,559492.9306213035,-251892.43049285543,160150.83226297196,666112.6013871924,42369.815339565575,-501571.39208951726,-37081.58204750256,530570.6731592949,-336838.51869875746,2.1074208839185773e6,-442226.8002412228,-235223.5786125324,-119681.46596161561,-92043.31965469354,-302314.76148900256,568326.1489023928,-609990.1650204855,-229634.46273307194,-211460.51331260562,-253344.11956320837,1.1467729943555791e6,-479821.73427219695,-665617.3130513638,-261361.17904131365,-652630.2440185888,-528027.3809037907,-918814.0551341695,-659177.9798014709,-8117.408340665446,85142.25860142388,641359.1499297145,4.249400964996732e6,3.2687891352159185e6,-332124.1282698211,1.557855313878903e6
-1.5162240487048805e6,-1.417534961728265e6,-1.4825896411316083e6,-1.4328960119893053e6,-1.5344663362872063e6,-1.6287471270005112e6,-1.1963140551839385e6,-1.1709129107276127e6,-1.6000915311509236e6,-1.4742364407831281e6,-1.3806897956203555e6,-1.4429788347448502e6,-1.4001187402601328e6,-1.4757775200682625e6,-1.150025773535969e6,-1.2872791929512813e6,-1.481465141851788e6,-1.5508585321951355e6,-1.3742375935176737e6,-1.2622700467145138e6,-1.264670932045663e6,-1.0724774679955007e6,-965143.7756057156,-1.5278452335260243e6,-1.1842372294915856e6,-1.5110815956342865e6,-1.5705926132721396e6,-1.2303307481189654e6,-1.1750658321843713e6,-1.251365716608978e6,-1.412402123886383e6,-1.2132250274240042e6,-952846.9615458079,-1.1272581812363209e6,-977560.3253978358,-1.0654042915254498e6,-1.0191832569608508e6,-1.0951862320605721e6,-1.5085413010362606e6,-1.4739404455534809e6,-1.2289776635127803e6,-1.16375238528714e6,-1.147422403504873e6,-1.4112900866254738e6,-1.2652822838684046e6,-1.562882385855218e6,-1.214534204351387e6,-1.2724470753454224e6,-1.3177893818797208e6,-1.5902045272956179e6,-1.4288168740011235e6,-1.6076537148984703e6,-1.4260770747251036e6,-1.4255554011463444e6,-1.0955024284411417e6,-1.3791546927788726e6,-1.3663742593036634e6,-1.4235627667498733e6,-1.4480534763169633e6,-1.1241890603308363e6
-1.0870701641374263e6,-1.07008437153594e6,-1.3003389281117416e6,-1.251590144796908e6,-1.4410367884529503e6,-1.346857562854604e6,-1.2099729912464553e6,-769376.378240859,-1.1424697997009961e6,-985595.4924378851,-823683.2875012906,-876471.4428045236,-1.2768888519656037e6,-1.381043268098706e6,-1.0466482680590287e6,-999160.0922457034,-1.1264810408205253e6,-708332.2136863908,-706296.5035444456,-455895.4407470906,-743873.3007395033,-823943.4058196786,-237137.54522332925,-492934.6600153018,-870971.5275769804,-859882.9572274338,-746612.2027337223,-1.3614102431861747e6,-682832.278052302,-523765.4912753895,-1.1865333461917604e6,-1.0373315464732014e6,-379312.58088053623,-280799.4194654056,-595242.8186260358,-591182.1482559339,-531494.6025618963,-574808.4252711419,-1.148928898969844e6,-974135.307484183,-702186.5274836989,-428127.5515599054,-525325.613946454,-512072.9363925429,-925605.2419970713,-513401.782236275,-902360.4969420349,-245584.7789692199,-656254.3640673785,-722032.8199405008,-851574.3167873974,-1.238823847274692e6,-1.0834175330489087e6,-1.1198969938527285e6,-469335.59366520954,-905055.660383791,-641796.9621936543,-958039.9408456493,-867365.9764912215,-43344.47710973344
2.9004581755389743e6,1.9073206728649542e6,1.793581384730276e6,1.6947487192896171e6,1.6773749193516348e6,1.9290098708630423e6,2.730546490828688e6,1.7110782279468423e6,2.0468025571565286e6,1.724609732965644e6,2.2456305662819543e6,1.7512106915569147e6,1.767378459263931e6,2.0436215887589531e6,2.2027032073514867e6,1.6372581182505812e6,1.8213956874734082e6,1.6529831251302182e6,2.2952483595593455e6,2.082268066862503e6,1.965821425722354e6,1.7894834505475338e6,2.0801134915311097e6,1.7077919669865195e6,1.90288927310332e6,1.7032792697030467e6,1.7996015527514187e6,2.1235429455299405e6,2.16007556333515e6,2.0126894524169888e6,2.124999365958022e6,1.9835115386827101e6,3.044771823734339e6,2.63044471717888e6,2.530681901193359e6,2.0414947281509808e6,1.767351335529787e6,1.8265855305455471e6,1.90209571866594e6,2.0439513281381996e6,1.9284738797213982e6,2.031854885684451e6,2.742910567507554e6,2.0530332613228713e6,3.079880930437805e6,3.192285998542996e6,2.85764773389216e6,2.603761020784345e6,2.433029547535248e6,2.572334672474618e6,2.569197010665277e6,1.927341945058265e6,2.730153219281035e6,2.3425873249145243e6,3.174186677192074e6,2.458158321442686e6,2.6020983456365117e6,3.086061150384576e6,2.698507261545075e6,3.151458109572835e6
4.309665617033596e6,5.210002061022358e6,2.600006927548664e6,2.289913997375438e6,409750.6620626953,1.688485091324532e6,3.315293181668928e6,6.366105144210604e6,3.664888650121044e6,4.979193233753694e6,7.156612428893758e6,5.569205701414799e6,3.6816770697672623e6,1.9074826219481996e6,3.8346106871733707e6,4.963525107789603e6,3.80708076153448e6,6.771141840902205e6,5.924179084395059e6,9.13754494908254e6,6.791196865004707e6,6.472792332652827e6,1.1584820147897108e7,8.028234053486423e6,5.359140288523759e6,5.302154240573464e6,7.499651382461114e6,2.8265494803299676e6,7.086834782828668e6,8.860196592978256e6,3.0382767451954065e6,4.840312967746084e6,9.964994294925788e6,1.1861068429328334e7,1.0214782255543735e7,8.411730711957444e6,8.461352182628522e6,7.874351483708206e6,4.474079494319866e6,6.002537627947046e6,8.915245192178948e6,1.1035918007698968e7,1.1045684293233003e7,1.1170154451914836e7,7.361645907832394e6,9.567524507842444e6,6.896595947127684e6,1.1725347658568677e7,8.638573648729213e6,7.801819078077382e6,8.11291779305932e6,3.593534365398555e6,5.184121941210955e6,4.599645484723234e6,9.799861670625485e6,7.21390634833787e6,9.835275122351198e6,6.366999432300166e6,7.673092979886528e6,1.4575890090776514e7
