"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
142325.51388232,126794.828489837,135440.715294827,2003155.35091116,4010056.10305394,3905760.44864583,4059583.09206858,4065310.56614575,2046455.31037115,166397.90457202,139215.626594537,145630.34915446
17337.60865787,16095.0942439887,16608.0231110545,4914613.35809814,10139641.1656213,9819387.90628765,10150929.3188705,10152889.7537528,4925924.16461239,26601.8049324041,18760.1830257466,17920.9887085016
5274.62834313695,4863.62719014542,4858.49436458291,1175982.77081634,2425153.17134999,2350819.15978276,2431591.59949954,2432709.77346941,1182434.11971706,10558.6514034268,6234.86873894436,5607.37103868242
2413.26747411651,2230.94456517165,2256.54168998577,254136.9024264,522826.877975614,507429.096645947,525251.740525445,525672.870981631,256566.631233165,4403.35408123865,2761.15132090112,2538.58615165961
8373.09041363184,7773.20706115198,8021.80848368363,659486.132137604,1354618.4411174,1314210.52442855,1360053.47786702,1360997.39095847,664932.076014835,12833.6293606297,9057.21579193355,8653.97710467672
13629.6422453258,12541.8756966884,12402.857659199,1332234.16081227,2739841.21626499,2662947.02139504,2758822.03691366,2762118.47186381,1351253.0725066,29207.2167217646,16522.4239153295,14610.5849971287
65882.1635346955,58730.5363251987,62833.2616477348,1693661.31701854,3440097.90314847,3339541.72103766,3461042.31129158,3463357.20080707,1711736.41774406,75443.9043355491,64114.2622933236,67307.5378425114
162299.63385357,144087.186454161,151391.23700765,1896726.74405729,3772315.14576653,3707966.9289976,3876286.87527499,3891076.12936462,1993713.97015763,228784.127779673,167115.883578018,168520.313489567
132217.181216089,123586.036849315,131622.704103868,2929412.70737198,5921992.99498034,5736527.72844944,5931190.74947969,5932788.14086523,2938628.9200873,139765.785587931,129566.953278849,132692.527924011
7745.49598378576,7168.65651070409,7291.53164354499,6561492.05333464,13552740.5851568,13119806.3896039,13559764.3249563,13560984.1511053,6568529.88849906,13509.8847768292,8728.79367157566,8108.48801528991
78096.5425493369,69322.5143918085,74062.7391603291,2243244.06758846,4565316.39999977,4432609.47282788,4594157.978223,4597474.20047846,2268417.30796673,92004.6149694972,76391.9051403801,80026.0400364066
7285.34705580191,6748.29497464761,6890.83042678315,3066336.64345209,6329870.49556476,6129375.43279702,6335974.45991433,6337034.54692473,3072452.85734499,12294.8754116611,8122.00401494076,7600.80441651385
515.071595648814,475.413665558674,477.241233962083,534.014566303547,594.322751017203,929.399767159718,1179.63440097637,1281.28658005585,1120.50083000532,995.437328402432,601.219082631305,545.320931607493
4294.71880239799,3968.05656334549,4002.88458367178,421317.875993556,866473.358601497,841255.380921161,870988.619901182,871772.793854081,425842.198599255,8000.39731221162,4948.92031279864,4528.07082265066
4008.71591162162,3712.44226616509,3787.13807888506,692843.330670135,1427901.26280121,1383914.81709015,1431329.51675097,1431924.90808558,696278.464500388,6822.28663203567,4481.29830791193,4185.89059366532
32104.5755073098,29544.8222244593,29229.4680191183,717303.15664807,1450760.03069791,1430884.22258214,1495243.7160948,1502969.28170484,761876.112689405,68612.3711965848,38878.9092199792,34403.5250401695
5973.22401020583,5503.37894494972,5476.02497089452,50423.6300286323,98311.370004219,99795.8757788849,106004.037403682,107340.037471584,58131.7352087128,12286.6022121105,7131.13484708287,6370.78671137705
20559.3035580315,19209.9415034238,20424.195123436,822000.416491656,1678262.14377343,1625389.82925671,1680352.54252329,1680715.58602,824095.01029059,22274.895460723,20263.1098593975,20667.336900741
284257.066011873,260436.563237051,268520.401492581,5004406.26946154,10066803.3150766,9868062.1362561,10279381.1911342,10314741.8553067,5213980.85241102,449733.98373796,308498.424026232,295647.2842712
35930.3925990783,33533.336269328,35465.6195840699,2440458.79953852,5007755.27762275,4850566.98332904,5014946.24932225,5016195.11895094,2447664.20220685,41832.028744337,36033.8608448275,36302.0272979992
